uuid,kode_identitas,kabkot
9f301969-5f03-437c-94dc-ec3a8b34a098,"7201061014000100 - UMKM - 1",7201
a62ef7ac-2c61-4ef0-8acc-686420937855,"7201061014000200 - UMKM - 1",7201
20b85625-09ac-4971-a585-2cd6536d47e0,"7201061014000300 - UMKM - 1",7201
a5a08e78-38df-4342-bc91-11a0ea5e85b1,"7201061015000500 - UMKM - 1",7201
5c504670-6d6c-4a5a-b362-687e0626e0ae,"7201070011000800 - UMKM - 1",7201
d385b3ca-7e3f-4711-9c48-8291f12d1dcc,"7201070011000100 - UMKM - 1",7201
3fa2038c-62d1-4c24-babb-6096f06985d9,"7201031007000100 - UMKM - 1",7201
9f0f6fec-0949-4b07-8e9b-c282ed9197a2,"7201031007000200 - UMKM - 2",7201
2b33a337-aefe-4cd3-9b7a-205957ade943,"7201031007000200 - UMKM - 1",7201
69a72275-4f18-4525-a813-54e20f7f086a,"7201031007000400 - UMKM - 2",7201
6c35d9e6-d7a2-447b-ad83-89d73410f3bc,"7201031007000400 - UMKM - 1",7201
c05c3146-e5da-4d6f-ad96-2e59988c8416,"7201031007000400 - UMKM - 3",7201
1b26de1c-22da-4d74-bb17-f9e5d0971d53,"7201031007000600 - UMKM - 4",7201
9044003e-e511-4954-9e66-6dc0b996d063,"7201031007000600 - UMKM - 2",7201
f2282d2d-bed9-4ec8-b5b6-03184da4ffd4,"7201031007000600 - UMKM - 1",7201
8c734dd3-0ad7-473c-a0fe-8ac26a825b6e,"7201031007000600 - UMKM - 3",7201
11aae3e0-a41d-4800-a4ab-6a5e5263fc7c,"7201031007000600 - UMKM - 5",7201
de29f842-80ee-450d-a59c-dd257da0424c,"7201031007000600 - UMKM - 6",7201
0a1e42d3-450e-4668-88c1-37eced58a9f2,"7201031007000500 - UMKM - 2",7201
3de51115-be89-4cde-b007-26ec3c35f1da,"7201031007000500 - UMKM - 1",7201
c5f1759d-50b8-45f6-aeb1-c9461fab9082,"7201031007000500 - UMKM - 3",7201
d9157291-d4ab-4200-8997-6a5e02943fe7,"7201050014000200 - UMKM - 1",7201
54e65fdb-abd5-4191-bc04-b0f1071fa4bc,"7201050002000200 - UMKM - 1",7201
5435ecf0-00c6-493d-8c38-a5368799f435,"7201030008000200 - UMKM - 1",7201
fcee21d4-85c5-43eb-b49e-09b7c72a8161,"7201030008000200 - UMKM - 2",7201
561baa07-a475-4f46-aedd-856f694fdc75,"7201031006000300 - UMKM - 1",7201
3149a16e-a565-49ef-bc0c-3b4d68320722,"7201031006000100 - UMKM - 1",7201
b633387c-cf05-40f7-a08a-9401f24690dd,"7201030007000200 - UMKM - 1",7201
e249cb77-e1a0-417b-820f-d1a88d3ae9fc,"7201042002001300 - UMKM - 1",7201
6a59e4b7-a023-49f9-a391-46bc53e7669b,"7201042002000100 - UMKM - 1",7201
565e2cde-7aea-4e2e-bbea-d36ca0a87258,"7201042002000800 - UMKM - 1",7201
fbe12250-8cd6-4fd4-a6ac-236ba8ed59b7,"7201042002000600 - UMKM - 1",7201
c081fcbb-f953-47b7-b881-96e56b7c8428,"7201042002001501 - UMKM - 2",7201
42a0da90-c44c-40aa-8677-3bf29e88717c,"7201042002001501 - UMKM - 3",7201
6abacb03-1b00-4cfb-9cff-d6f34ebca93d,"7201042002001501 - UMKM - 1",7201
c97c192c-1c7b-4190-9be7-948efe8fd59c,"7201042002001000 - UMKM - 1",7201
fa55f991-72d5-4545-9534-47a96e61750f,"7201051010000300 - UMKM - 1",7201
c229367e-cf95-40b7-9266-cb473503cae1,"7201051010000300 - UMKM - 2",7201
4bfddf2f-d0df-4a7f-a803-dd0ce9012a59,"7201060001000400 - UMKM - 1",7201
fdf0f842-3536-4d71-9e36-ae26898dd0f9,"7201060001000400 - UMKM - 2",7201
6ac61942-a7c4-4652-bd28-e74328c0d51a,"7201041006000200 - UMKM - 1",7201
077ff9d7-d6a9-47aa-bc9d-0a92a7207dcc,"7201041006000100 - UMKM - 2",7201
e88a72a0-31ca-4f66-97c2-8b85fa675410,"7201041006000100 - UMKM - 1",7201
f54af12b-2fff-4887-8dab-bf078146c8b9,"7201041006000100 - UMKM - 3",7201
288f90e9-6245-419b-96c1-bc205539133e,"7201041006000400 - UMKM - 2",7201
83cd43cc-4fc7-4133-b5e1-134ee1a7c2bf,"7201041006000400 - UMKM - 1",7201
6da4d50f-f5d4-4ee8-b816-c08547fc14a5,"7201041006000400 - UMKM - 3",7201
38ce74a2-40e7-41f2-badd-4cef09c95609,"7201041006000300 - UMKM - 1",7201
842bc4df-5c8e-4333-8904-6056872c95a9,"7201041006000300 - UMKM - 2",7201
571b5ae7-98ba-410f-a7a7-9130cf37130a,"7201061003000300 - UMKM - 1",7201
d61f7529-44c6-4c9c-8245-198fc2dba8c0,"7201062008000200 - UMKM - 1",7201
555d57a6-4249-443e-b0d6-b907eca47a8f,"7201062008000100 - UMKM - 1",7201
