uuid,kode_identitas,kabkot
936636f4-8d66-4163-8cd7-22446fc9ae6a,"7201040012001000 - UMK - 5",7201
94dbd950-3e51-4f40-acbe-80f0f2eb660f,"7201040012001000 - UMK - 8",7201
46ab62df-c66b-4ad9-bd67-cd2ddeefe796,"7201040012001000 - UMK - 12",7201
bb6f874d-07a4-488d-b1d1-46bb7dd76736,"7201040012001000 - UMK - 3",7201
f8ce1f68-2e97-4a4b-9034-8352664f9887,"7201040012000900 - UMK - 7",7201
23bcb5b8-97cc-4563-b986-3c368966e169,"7201051001000300 - UMK - 3",7201
c55ce465-4c74-447f-a68b-e975ed14a0c9,"7201051001000300 - UMK - 2",7201
500226e6-ae80-471f-bbf0-d24f43e0b340,"7201051001000200 - UMK - 4",7201
1068a645-a909-4a49-80fc-e2d8431e4f0b,"7201051001000300 - UMK - 4",7201
1022c546-8aa1-4170-831f-02e2f396633a,"7201051001000300 - UMK - 1",7201
7acf2cd3-9a1e-41e4-8f43-cf2422f03146,"7201051001000200 - UMK - 3",7201
64bf9e61-15e2-43be-ad91-513d71a74087,"7201051001000200 - UMK - 2",7201
0a76cbda-02a8-4ec9-8714-4b35cbb1c3d5,"7201051001000200 - UMK - 1",7201
074959c2-0f51-4408-b3d1-14df87b2cc64,"7201051001000100 - UMK - 4",7201
f4e8c4f4-feea-44b1-9ee1-1b99af18597d,"7201051001000100 - UMK - 3",7201
59ae9285-dd94-46a2-83a0-692752fa7807,"7201051001000100 - UMK - 1",7201
af5e8376-6066-4616-8738-12bb848cf204,"7201051001000100 - UMK - 6",7201
567b94d6-a8c3-4840-8530-c6ccdd4ead6b,"7201051001000100 - UMK - 9",7201
46ddc28e-4503-4eed-a2a8-42a3e30198f2,"7201051001000100 - UMK - 2",7201
42cde571-c312-42b4-9f2f-b98773596522,"7201051001000100 - UMK - 7",7201
10ff989e-e676-4311-885d-5aa1781143c3,"7201051001000100 - UMK - 10",7201
a121d7a4-1bff-4f0f-b08e-c60f01b460f1,"7201051001000100 - UMK - 8",7201
68458a60-af4d-4b14-b9f4-de4a65129396,"7201051001000100 - UMK - 5",7201
11802b55-5152-402f-ad2a-f5bfd2ba65be,"7201051001000100 - UMK - 11",7201
fc8a4f38-717a-40bf-ad84-26f582846222,"7201060015000200 - UMK - 7",7201
